"games","country","gold","bronze","silver"
"1996 Summer","Taiwan",0,0,1
"1996 Summer","Thailand",1,1,0
"1996 Summer","Tonga",0,0,1
"1996 Summer","Trinidad",0,2,0
"1996 Summer","Tunisia",0,1,0
"1996 Summer","Turkey",4,1,1
"1996 Summer","Uganda",0,1,0
"1996 Summer","UK",2,9,15
"1996 Summer","Ukraine",10,19,5
"1996 Summer","USA",159,52,48
"1996 Summer","Uzbekistan",0,1,1
"1996 Summer","Zambia",0,0,1
"1998 Winter","Australia",0,1,0
"1998 Winter","Austria",3,12,5
"1998 Winter","Belarus",0,2,0
"1998 Winter","Belgium",0,1,0
"1998 Winter","Bulgaria",1,0,0
"1998 Winter","Canada",14,7,28
"1998 Winter","China",0,5,9
"1998 Winter","Czech Republic",21,1,1
"1998 Winter","Denmark",0,0,5
"1998 Winter","Finland",2,49,7
"1998 Winter","France",2,12,1
"1998 Winter","Germany",22,10,12
"1998 Winter","Italy",3,5,9
"1998 Winter","Japan",8,4,1
"1998 Winter","Kazakhstan",0,2,0
"1998 Winter","Netherlands",5,2,4
"1998 Winter","Norway",13,12,15
"1998 Winter","Russia",14,6,32
"1998 Winter","South Korea",6,2,4
"1998 Winter","Sweden",0,5,2
"1998 Winter","Switzerland",6,3,5
"1998 Winter","UK",0,4,0
"1998 Winter","Ukraine",0,0,1
"1998 Winter","USA",25,5,4
"2000 Summer","Algeria",1,3,1
"2000 Summer","Argentina",0,3,17
"2000 Summer","Armenia",0,1,0
"2000 Summer","Australia",60,54,69
"2000 Summer","Austria",3,0,1
"2000 Summer","Azerbaijan",2,1,0
"2000 Summer","Bahamas",6,5,0
"2000 Summer","Barbados",0,1,0
"2000 Summer","Belarus",3,11,8
"2000 Summer","Belgium",0,4,3
"2000 Summer","Brazil",0,36,12
"2000 Summer","Bulgaria",5,2,6
"2000 Summer","Cameroon",18,0,0
"2000 Summer","Canada",4,23,4
"2000 Summer","Chile",0,17,0
"2000 Summer","China",39,17,23
"2000 Summer","Colombia",1,0,0
"2000 Summer","Costa Rica",0,2,0
"2000 Summer","Croatia",1,9,0
"2000 Summer","Cuba",18,12,35
"2000 Summer","Czech Republic",2,4,3
"2000 Summer","Denmark",18,4,3
"2000 Summer","Estonia",1,2,0
"2000 Summer","Ethiopia",4,3,1
"2000 Summer","Finland",3,1,1
"2000 Summer","France",22,14,30
"2000 Summer","Georgia",0,6,0
"2000 Summer","Germany",31,64,23
"2000 Summer","Greece",4,8,6
"2000 Summer","Hungary",25,4,24
"2000 Summer","Iceland",0,1,0
"2000 Summer","India",0,1,0
"2000 Summer","Indonesia",2,2,4
"2000 Summer","Iran",3,1,0
"2000 Summer","Ireland",0,0,1
"2000 Summer","Israel",0,1,0
"2000 Summer","Italy",22,29,14
"2000 Summer","Jamaica",0,3,20
"2000 Summer","Japan",5,8,31
"2000 Summer","Kazakhstan",3,0,4
"2000 Summer","Kenya",2,2,3
"2000 Summer","Kuwait",0,1,0
"2000 Summer","Kyrgyzstan",0,1,0
"2000 Summer","Latvia",1,1,1
"2000 Summer","Lithuania",2,15,0
"2000 Summer","Macedonia",0,1,0
"2000 Summer","Mexico",1,3,2
"2000 Summer","Moldova",0,1,1
"2000 Summer","Morocco",0,4,1
"2000 Summer","Mozambique",1,0,0
"2000 Summer","Netherlands",27,23,29
"2000 Summer","New Zealand",1,3,0
"2000 Summer","Nigeria",6,0,2
"2000 Summer","North Korea",0,3,1
"2000 Summer","Norway",20,19,4
"2000 Summer","Poland",7,7,10
"2000 Summer","Portugal",0,2,0
"2000 Summer","Qatar",0,1,0
"2000 Summer","Romania",27,13,6
"2000 Summer","Russia",66,54,67
"2000 Summer","Saudi Arabia",0,1,1
"2000 Summer","Serbia",11,13,1
"2000 Summer","Slovakia",2,1,3
"2000 Summer","Slovenia",3,0,0
"2000 Summer","South Africa",0,3,2
"2000 Summer","South Korea",12,35,26
"2000 Summer","Spain",3,20,19
"2000 Summer","Sri Lanka",0,0,1
"2000 Summer","Sweden",4,8,20
"2000 Summer","Switzerland",1,2,11
"2000 Summer","Taiwan",0,4,1
"2000 Summer","Thailand",1,2,0
"2000 Summer","Trinidad",0,1,1
"2000 Summer","Turkey",3,2,0
"2000 Summer","UK",22,12,20
"2000 Summer","Ukraine",3,12,20
"2000 Summer","Uruguay",0,0,1
"2000 Summer","USA",130,51,61
"2000 Summer","Uzbekistan",1,2,1
"2000 Summer","Vietnam",0,0,1
"2002 Winter","Australia",2,0,0
"2002 Winter","Austria",3,13,4
"2002 Winter","Belarus",0,1,0
"2002 Winter","Bulgaria",0,2,1
"2002 Winter","Canada",52,15,7
"2002 Winter","China",2,9,5
"2002 Winter","Croatia",3,0,1
"2002 Winter","Czech Republic",1,0,2
"2002 Winter","Estonia",1,1,1
"2002 Winter","Finland",7,1,5
"2002 Winter","France",5,5,5
"2002 Winter","Germany",26,12,23
"2002 Winter","Italy",4,6,11
"2002 Winter","Japan",0,1,1
"2002 Winter","Netherlands",3,0,5
"2002 Winter","Norway",23,7,11
"2002 Winter","Poland",0,1,1
"2002 Winter","Russia",6,27,5
"2002 Winter","Slovenia",0,4,0
"2002 Winter","South Korea",5,0,2
"2002 Winter","Sweden",0,24,2
"2002 Winter","Switzerland",3,14,7
"2002 Winter","UK",5,1,0
"2002 Winter","USA",11,15,58
"2004 Summer","Argentina",28,21,0
"2004 Summer","Australia",49,31,77
"2004 Summer","Austria",3,1,4
"2004 Summer","Azerbaijan",1,4,0
"2004 Summer","Bahamas",1,1,0
"2004 Summer","Belarus",2,8,5
"2004 Summer","Belgium",1,2,0
"2004 Summer","Brazil",18,3,19
"2004 Summer","Bulgaria",2,14,1
"2004 Summer","Cameroon",1,0,0
"2004 Summer","Canada",3,4,10
"2004 Summer","Chile",3,1,0
"2004 Summer","China",52,15,29
"2004 Summer","Colombia",0,2,0
"2004 Summer","Croatia",15,3,3
"2004 Summer","Cuba",32,22,8
"2004 Summer","Czech Republic",1,6,6
"2004 Summer","Denmark",19,9,1
"2004 Summer","Dominican Republic",1,0,0
"2004 Summer","Egypt",1,3,1
"2004 Summer","Eritrea",0,1,0
"2004 Summer","Estonia",0,2,1
"2004 Summer","Ethiopia",2,2,3
"2004 Summer","Finland",0,0,2
"2004 Summer","France",21,22,10
"2004 Summer","Georgia",2,0,2
"2004 Summer","Germany",41,63,45
"2004 Summer","Greece",8,5,18
"2004 Summer","Hungary",24,4,12
"2004 Summer","India",0,0,1
"2004 Summer","Indonesia",1,3,1
"2004 Summer","Iran",2,2,2
"2004 Summer","Israel",1,1,0
"2004 Summer","Italy",24,39,41
"2004 Summer","Jamaica",6,6,1
"2004 Summer","Japan",21,52,20
"2004 Summer","Kazakhstan",1,3,4
"2004 Summer","Kenya",1,2,4
"2004 Summer","Latvia",0,0,4
"2004 Summer","Lithuania",1,0,2
"2004 Summer","Mexico",0,1,3
"2004 Summer","Mongolia",0,1,0
"2004 Summer","Morocco",2,0,1
"2004 Summer","Netherlands",4,22,51
"2004 Summer","New Zealand",4,0,2
"2004 Summer","Nigeria",0,8,0
"2004 Summer","North Korea",0,1,4
"2004 Summer","Norway",5,2,0
"2004 Summer","Paraguay",0,0,17
"2004 Summer","Poland",4,6,2
"2004 Summer","Portugal",0,1,2
"2004 Summer","Romania",23,11,5
"2004 Summer","Russia",48,95,46
"2004 Summer","Serbia",0,0,13
"2004 Summer","Slovakia",3,5,2
"2004 Summer","Slovenia",0,3,2
"2004 Summer","South Africa",4,3,3
"2004 Summer","South Korea",14,10,28
"2004 Summer","Spain",4,9,17
"2004 Summer","Sweden",5,2,5
"2004 Summer","Switzerland",1,4,2
"2004 Summer","Syria",0,1,0
"2004 Summer","Taiwan",2,3,4
"2004 Summer","Thailand",3,4,1
"2004 Summer","Trinidad",0,1,0
"2004 Summer","Turkey",3,5,3
"2004 Summer","UK",17,15,25
"2004 Summer","Ukraine",8,31,8
"2004 Summer","United Arab Emirates",1,0,0
"2004 Summer","USA",117,71,75
"2004 Summer","Uzbekistan",2,2,1
"2004 Summer","Venezuela",0,2,0
"2004 Summer","Zimbabwe",1,1,1
"2006 Winter","Australia",1,1,0
"2006 Winter","Austria",16,7,7
"2006 Winter","Belarus",0,0,1
"2006 Winter","Bulgaria",0,0,1
"2006 Winter","Canada",30,11,28
"2006 Winter","China",2,6,5
"2006 Winter","Croatia",1,0,2
"2006 Winter","Czech Republic",1,24,2
"2006 Winter","Estonia",3,0,0
"2006 Winter","Finland",0,7,34
"2006 Winter","France",3,10,2
"2006 Winter","Germany",23,6,25
"2006 Winter","Italy",11,14,0
"2006 Winter","Japan",1,0,0
"2006 Winter","Latvia",0,1,0
"2006 Winter","Netherlands",3,8,2
"2006 Winter","Norway",2,12,9
"2006 Winter","Poland",0,1,1
"2006 Winter","Russia",16,13,12
"2006 Winter","Slovakia",0,0,1
"2006 Winter","South Korea",14,2,3
"2006 Winter","Sweden",35,8,21
"2006 Winter","Switzerland",5,9,7
"2006 Winter","UK",0,0,1
"2006 Winter","Ukraine",0,3,0
"2006 Winter","USA",9,32,11
"2008 Summer","Afghanistan",0,1,0
"2008 Summer","Algeria",0,1,1
"2008 Summer","Argentina",20,31,0
"2008 Summer","Armenia",0,6,0
"2008 Summer","Australia",31,76,42
"2008 Summer","Austria",0,2,1
"2008 Summer","Azerbaijan",1,4,2
"2008 Summer","Bahamas",0,1,6
"2008 Summer","Belarus",8,16,5
"2008 Summer","Belgium",1,0,4
"2008 Summer","Brazil",14,30,34
"2008 Summer","Bulgaria",1,3,1
"2008 Summer","Cameroon",1,0,0
"2008 Summer","Canada",11,11,13
"2008 Summer","Chile",0,0,1
"2008 Summer","China",74,57,53
"2008 Summer","Colombia",0,1,1
"2008 Summer","Croatia",0,3,2
"2008 Summer","Cuba",2,11,34
"2008 Summer","Czech Republic",3,0,4
"2008 Summer","Denmark",6,6,7
"2008 Summer","Dominican Republic",1,0,1
"2008 Summer","Ecuador",0,0,1
"2008 Summer","Egypt",0,1,0
"2008 Summer","Estonia",1,0,2
"2008 Summer","Ethiopia",4,2,1
"2008 Summer","Finland",1,2,2
"2008 Summer","France",25,28,24
"2008 Summer","Georgia",3,3,0
"2008 Summer","Germany",42,41,16
"2008 Summer","Greece",0,4,3
"2008 Summer","Hungary",16,3,8
"2008 Summer","Iceland",0,0,14
"2008 Summer","India",1,2,0
"2008 Summer","Indonesia",2,3,2
"2008 Summer","Iran",1,1,0
"2008 Summer","Ireland",0,2,1
"2008 Summer","Israel",0,1,0
"2008 Summer","Italy",8,20,14
"2008 Summer","Jamaica",5,6,3
"2008 Summer","Japan",23,13,15
"2008 Summer","Kazakhstan",2,7,4
"2008 Summer","Kenya",6,5,4
"2008 Summer","Kyrgyzstan",0,1,1
"2008 Summer","Latvia",1,1,1
"2008 Summer","Lithuania",0,3,2
"2008 Summer","Malaysia",0,0,1
"2008 Summer","Mauritius",0,1,0
"2008 Summer","Mexico",2,2,0
"2008 Summer","Moldova",0,1,0
"2008 Summer","Mongolia",2,0,2
"2008 Summer","Morocco",0,1,1
"2008 Summer","Netherlands",39,4,18
"2008 Summer","New Zealand",4,9,2
"2008 Summer","Nigeria",0,7,16
"2008 Summer","North Korea",2,3,1
"2008 Summer","Norway",16,1,5
"2008 Summer","Panama",1,0,0
"2008 Summer","Poland",6,1,13
"2008 Summer","Portugal",1,0,1
"2008 Summer","Romania",5,16,1
"2008 Summer","Russia",43,53,46
"2008 Summer","Serbia",0,14,1
"2008 Summer","Slovakia",4,1,5
"2008 Summer","Slovenia",1,2,2
"2008 Summer","South Africa",0,0,1
"2008 Summer","South Korea",41,26,11
"2008 Summer","Spain",7,16,47
"2008 Summer","Sudan",0,0,1
"2008 Summer","Sweden",0,2,5
"2008 Summer","Switzerland",3,7,1
"2008 Summer","Taiwan",0,4,0
"2008 Summer","Tajikistan",0,1,1
"2008 Summer","Thailand",2,0,2
"2008 Summer","Togo",0,1,0
"2008 Summer","Trinidad",5,0,1
"2008 Summer","Tunisia",1,0,0
"2008 Summer","Turkey",1,3,3
"2008 Summer","UK",31,25,25
"2008 Summer","Ukraine",10,16,5
"2008 Summer","USA",127,80,110
"2008 Summer","Uzbekistan",1,3,2
"2008 Summer","Venezuela",0,1,0
"2008 Summer","Vietnam",0,0,1
"2008 Summer","Zimbabwe",1,0,3
"2010 Winter","Australia",2,0,1
"2010 Winter","Austria",11,6,9
"2010 Winter","Belarus",1,1,1
"2010 Winter","Canada",67,8,15
"2010 Winter","China",9,7,3
"2010 Winter","Croatia",0,1,2
"2010 Winter","Czech Republic",2,7,0
"2010 Winter","Estonia",0,0,1
"2010 Winter","Finland",0,46,1
"2010 Winter","France",2,6,6
"2010 Winter","Germany",15,15,24
"2010 Winter","Italy",1,3,1
"2010 Winter","Japan",0,2,5
"2010 Winter","Kazakhstan",0,0,1
"2010 Winter","Latvia",0,0,3
"2010 Winter","Netherlands",4,6,1
"2010 Winter","Norway",16,9,14
"2010 Winter","Poland",1,4,3
"2010 Winter","Russia",6,14,5
"2010 Winter","Slovakia",1,1,1
"2010 Winter","Slovenia",0,1,2
"2010 Winter","South Korea",6,2,10
"2010 Winter","Sweden",11,4,3
"2010 Winter","Switzerland",6,6,0
"2010 Winter","UK",1,0,0
"2010 Winter","USA",12,22,63
"2012 Summer","Afghanistan",0,1,0
"2012 Summer","Algeria",1,0,0
"2012 Summer","Argentina",1,3,15
"2012 Summer","Armenia",0,2,1
"2012 Summer","Australia",18,59,37
"2012 Summer","Azerbaijan",2,6,2
"2012 Summer","Bahamas",4,0,0
"2012 Summer","Bahrain",0,1,0
"2012 Summer","Belarus",3,8,12
"2012 Summer","Belgium",0,2,1
"2012 Summer","Botswana",0,0,1
"2012 Summer","Brazil",14,11,34
"2012 Summer","Bulgaria",0,1,1
"2012 Summer","Canada",1,33,21
"2012 Summer","China",56,30,40
"2012 Summer","Colombia",1,4,3
"2012 Summer","Croatia",15,16,4
"2012 Summer","Cuba",5,6,3
"2012 Summer","Cyprus",0,0,1
"2012 Summer","Czech Republic",4,6,4
"2012 Summer","Denmark",3,8,5
"2012 Summer","Dominican Republic",1,0,1
"2012 Summer","Egypt",0,0,2
"2012 Summer","Estonia",0,1,1
"2012 Summer","Ethiopia",3,3,1
"2012 Summer","Finland",0,4,1
"2012 Summer","France",30,22,30
"2012 Summer","Gabon",0,0,1
"2012 Summer","Georgia",1,3,3
"2012 Summer","Germany",45,22,27
"2012 Summer","Greece",0,3,0
"2012 Summer","Grenada",1,0,0
"2012 Summer","Guatemala",0,0,1
"2012 Summer","Hungary",12,6,8
"2012 Summer","India",0,4,2
"2012 Summer","Indonesia",0,1,1
"2012 Summer","Iran",4,3,5
"2012 Summer","Ireland",1,3,1
"2012 Summer","Italy",16,30,22
"2012 Summer","Jamaica",8,8,9
"2012 Summer","Japan",7,33,44
"2012 Summer","Kazakhstan",7,5,1
"2012 Summer","Kenya",2,5,4
"2012 Summer","Kuwait",0,1,0
"2012 Summer","Latvia",1,2,0
"2012 Summer","Lithuania",2,2,1
"2012 Summer","Malaysia",0,1,1
"2012 Summer","Mexico",16,3,5
"2012 Summer","Moldova",0,2,0
"2012 Summer","Mongolia",0,3,2
"2012 Summer","Montenegro",0,0,14
"2012 Summer","Morocco",0,1,0
"2012 Summer","Netherlands",21,19,29
"2012 Summer","New Zealand",9,15,3
"2012 Summer","North Korea",4,2,0
"2012 Summer","Norway",15,1,1
"2012 Summer","Poland",2,8,2
"2012 Summer","Portugal",0,0,2
"2012 Summer","Puerto Rico",0,1,1
"2012 Summer","Qatar",0,2,0
"2012 Summer","Romania",2,6,8
"2012 Summer","Russia",50,51,39
"2012 Summer","Saudi Arabia",0,4,0
"2012 Summer","Serbia",1,14,1
"2012 Summer","Slovakia",0,4,1
"2012 Summer","Slovenia",1,3,1
"2012 Summer","South Africa",6,1,2
"2012 Summer","South Korea",18,30,13
"2012 Summer","Spain",5,25,33
"2012 Summer","Sweden",2,3,17
"2012 Summer","Switzerland",2,0,2
"2012 Summer","Taiwan",0,1,1
"2012 Summer","Tajikistan",0,1,0
"2012 Summer","Thailand",0,1,2
"2012 Summer","Trinidad",1,5,4
"2012 Summer","Tunisia",1,1,1
"2012 Summer","Turkey",2,1,2
"2012 Summer","Uganda",1,0,0
"2012 Summer","UK",48,48,30
"2012 Summer","Ukraine",9,12,5
"2012 Summer","USA",145,46,57
"2012 Summer","Uzbekistan",1,2,0
"2012 Summer","Venezuela",1,0,0
"2014 Winter","Australia",0,1,2
"2014 Winter","Austria",4,11,12
"2014 Winter","Belarus",5,1,0
"2014 Winter","Canada",59,5,22
"2014 Winter","China",3,5,4
"2014 Winter","Croatia",0,0,1
"2014 Winter","Czech Republic",2,2,7
"2014 Winter","Finland",2,24,7
"2014 Winter","France",4,10,4
"2014 Winter","Germany",15,9,12
"2014 Winter","Italy",0,12,2
"2014 Winter","Japan",1,6,4
"2014 Winter","Kazakhstan",0,1,0
"2014 Winter","Latvia",0,6,5
"2014 Winter","Netherlands",13,9,7
"2014 Winter","Norway",18,13,5
"2014 Winter","Poland",4,3,4
"2014 Winter","Russia",33,13,22
"2014 Winter","Slovakia",1,0,0
"2014 Winter","Slovenia",2,4,2
"2014 Winter","South Korea",7,2,5
"2014 Winter","Sweden",8,11,32
"2014 Winter","Switzerland",6,20,4
"2014 Winter","UK",1,5,4
"2014 Winter","Ukraine",4,1,0
"2014 Winter","USA",10,24,30
"2016 Summer","Algeria",0,0,2
"2016 Summer","Argentina",21,0,1
"2016 Summer","Armenia",1,0,3
"2016 Summer","Australia",23,25,34
"2016 Summer","Austria",0,2,0
"2016 Summer","Azerbaijan",1,10,7
"2016 Summer","Bahamas",1,5,0
"2016 Summer","Bahrain",1,0,1
"2016 Summer","Belarus",1,7,4
"2016 Summer","Belgium",2,2,17
"2016 Summer","Brazil",36,6,8
"2016 Summer","Bulgaria",0,6,1
"2016 Summer","Burundi",0,0,1
"2016 Summer","Canada",4,61,4
"2016 Summer","China",46,37,30
"2016 Summer","Colombia",3,3,2
"2016 Summer","Croatia",7,2,15
"2016 Summer","Cuba",5,4,2
"2016 Summer","Czech Republic",1,12,2
"2016 Summer","Denmark",15,16,10
"2016 Summer","Dominican Republic",0,1,0
"2016 Summer","Egypt",0,3,0
"2016 Summer","Estonia",0,4,0
"2016 Summer","Ethiopia",1,5,2
"2016 Summer","Fiji",13,0,0
"2016 Summer","Finland",0,1,0
"2016 Summer","France",20,21,55
"2016 Summer","Georgia",2,4,1
"2016 Summer","Germany",49,67,43
"2016 Summer","Greece",3,3,1
"2016 Summer","Grenada",0,0,1
"2016 Summer","Hungary",12,7,3
"2016 Summer","India",0,1,1
"2016 Summer","Individual Olympic Athletes",1,1,0
"2016 Summer","Indonesia",2,0,2
"2016 Summer","Iran",3,4,1
"2016 Summer","Ireland",0,0,3
"2016 Summer","Israel",0,2,0
"2016 Summer","Italy",8,24,40
"2016 Summer","Ivory Coast",1,1,0
"2016 Summer","Jamaica",11,2,17
"2016 Summer","Japan",17,34,13
"2016 Summer","Jordan",1,0,0
"2016 Summer","Kazakhstan",3,10,5
"2016 Summer","Kenya",6,1,6
"2016 Summer","Kosovo",1,0,0
"2016 Summer","Lithuania",0,5,2
"2016 Summer","Malaysia",0,1,7
"2016 Summer","Mexico",0,2,3
"2016 Summer","Mongolia",0,1,1
"2016 Summer","Morocco",0,1,0
"2016 Summer","Netherlands",9,13,25
"2016 Summer","New Zealand",6,5,25
"2016 Summer","Niger",0,0,1
"2016 Summer","Nigeria",0,18,0
"2016 Summer","North Korea",2,2,3
"2016 Summer","Norway",0,19,0
"2016 Summer","Philippines",0,0,1
"2016 Summer","Poland",3,10,3
"2016 Summer","Portugal",0,1,0
"2016 Summer","Puerto Rico",1,0,0
"2016 Summer","Qatar",0,0,1
"2016 Summer","Romania",4,10,2
"2016 Summer","Russia",52,35,28
"2016 Summer","Serbia",14,13,27
"2016 Summer","Slovakia",3,0,5
"2016 Summer","Slovenia",1,1,2
"2016 Summer","South Africa",2,14,7
"2016 Summer","South Korea",13,10,3
"2016 Summer","Spain",9,17,19
"2016 Summer","Sweden",2,3,23
"2016 Summer","Switzerland",6,2,3
"2016 Summer","Taiwan",1,4,0
"2016 Summer","Tajikistan",1,0,0
"2016 Summer","Thailand",2,2,2
"2016 Summer","Trinidad",0,1,0
"2016 Summer","Tunisia",0,3,0
"2016 Summer","Turkey",1,4,3
"2016 Summer","UK",64,26,55
"2016 Summer","Ukraine",2,5,8
"2016 Summer","United Arab Emirates",0,1,0
"2016 Summer","USA",139,71,54
"2016 Summer","Uzbekistan",4,7,2
"2016 Summer","Venezuela",0,2,1
"2016 Summer","Vietnam",1,0,1
